,dataset,method,strategy,model,og_or_samp,balanced_accuracy,f1,precision,recall
210,optical_digits,SVMSMOTE,not majority,KNN,og,-0.018833227647431783,0.011474754858062153,-0.018833227647431783,0.040753885593190486
212,optical_digits,SVMSMOTE,not majority,Tree,og,-0.029133639822447543,-0.015758620771368803,-0.029133639822447543,-0.0010517416980603267
214,optical_digits,SVMSMOTE,not majority,Logistic,og,-0.04979787571337979,0.07504174721617574,-0.04979787571337979,0.1507621077801652
216,optical_digits,SVMSMOTE,all,SVM,og,-0.025134749524413413,-0.005989268961997585,-0.025134749524413413,0.014151468958283453
218,optical_digits,SVMSMOTE,all,KNN,og,-0.019162175015852823,0.009950741251289141,-0.019162175015852823,0.03825168910472665
220,optical_digits,SVMSMOTE,all,Tree,og,-0.04057545973367149,-0.009396330015103316,-0.04057545973367149,0.021801046189826256
222,optical_digits,SVMSMOTE,all,Logistic,og,-0.05248097653772987,0.07441409456632286,-0.05248097653772987,0.1506419168007519
224,optical_digits,ADASYN,minority,SVM,og,-0.023109543436905522,-0.009117718598159907,-0.023109543436905522,0.006007773785817849
226,optical_digits,ADASYN,minority,KNN,og,-0.020149017121116053,0.005331862260399944,-0.020149017121116053,0.030575509330407757
228,optical_digits,ADASYN,minority,Tree,og,-0.024147907419150294,-0.005343949639722512,-0.024147907419150294,0.012992277536126862
230,optical_digits,ADASYN,minority,Logistic,og,-0.031242073557387395,0.06353641216747719,-0.031242073557387395,0.131866660818578
232,optical_digits,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
234,optical_digits,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
236,optical_digits,ADASYN,not minority,Tree,og,0.015718135700697577,0.012916505801287004,0.015718135700697577,0.009828362677681723
238,optical_digits,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
240,optical_digits,ADASYN,not majority,SVM,og,-0.01708544705136339,-0.005668491634531203,-0.01708544705136339,0.0068463042007474995
242,optical_digits,ADASYN,not majority,KNN,og,-0.019820069752694902,0.00687936409811174,-0.019820069752694902,0.033162977367135804
244,optical_digits,ADASYN,not majority,Tree,og,-0.04462587190868739,-0.005512839583477813,-0.04462587190868739,0.033846846979531
246,optical_digits,ADASYN,not majority,Logistic,og,-0.030584178820545316,0.06564609944802835,-0.030584178820545316,0.13433308154137924
248,optical_digits,ADASYN,all,SVM,og,-0.023109543436905522,-0.009117718598159907,-0.023109543436905522,0.006007773785817849
250,optical_digits,ADASYN,all,KNN,og,-0.019820069752694902,0.00687936409811174,-0.019820069752694902,0.033162977367135804
252,optical_digits,ADASYN,all,Tree,og,-0.048573240329739975,-0.022049688056685057,-0.048573240329739975,0.00555512112518064
254,optical_digits,ADASYN,all,Logistic,og,-0.030913126188966467,0.06459332585449773,-0.030913126188966467,0.1331048456084466
256,satimage,SMOTE,minority,SVM,og,-0.1986517498565692,-0.02269831151697599,-0.1986517498565692,0.08788905897282062
258,satimage,SMOTE,minority,KNN,og,-0.06702951624125686,0.06708321432189202,-0.06702951624125686,0.1104253970871164
260,satimage,SMOTE,minority,Tree,og,-0.0394221261947485,0.0004175564039371471,-0.0394221261947485,0.032122034706850155
262,satimage,SMOTE,minority,Logistic,og,-0.2241305648124413,-0.049019914077086835,-0.2241305648124413,0.20277316790409983
264,satimage,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
266,satimage,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
268,satimage,SMOTE,not minority,Tree,og,-0.000860585197934638,-0.002616768245841228,-0.000860585197934638,-0.004611299377143774
270,satimage,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
272,satimage,SMOTE,not majority,SVM,og,-0.1880134519842287,-0.017309140473847684,-0.1880134519842287,0.09201357518934872
274,satimage,SMOTE,not majority,KNN,og,-0.06948004785097839,0.07097670810610102,-0.06948004785097839,0.11366874313113473
276,satimage,SMOTE,not majority,Tree,og,-0.02805446710855586,-0.00266107438110208,-0.02805446710855586,0.01763663160953788
278,satimage,SMOTE,not majority,Logistic,og,-0.2115620536858681,-0.040204812785928024,-0.2115620536858681,0.20758649312833966
280,satimage,SMOTE,all,SVM,og,-0.19390632438568867,-0.021372570810795577,-0.19390632438568867,0.08880667978296475
282,satimage,SMOTE,all,KNN,og,-0.0697669095836233,0.07032597884018466,-0.0697669095836233,0.11314942551027496
284,satimage,SMOTE,all,Tree,og,-0.04213510577263457,-0.019117703378165984,-0.04213510577263457,0.0007188169373454345
286,satimage,SMOTE,all,Logistic,og,-0.2071034899476325,-0.03938293147474481,-0.2071034899476325,0.2090732703048772
288,satimage,SMOTEN,minority,SVM,og,-0.15255398493670735,-0.016902817522411406,-0.15255398493670735,0.08919727858104598
290,satimage,SMOTEN,minority,KNN,og,-0.025759573247396972,0.01418008895526579,-0.025759573247396972,0.042250773125688146
292,satimage,SMOTEN,minority,Tree,og,5.340510980100799e-05,0.015958620460631234,5.340510980100799e-05,0.030462011924389576
294,satimage,SMOTEN,minority,Logistic,og,-0.15495721487774805,-0.03234764198996187,-0.15495721487774805,0.22610622786940338
296,satimage,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
298,satimage,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
300,satimage,SMOTEN,not minority,Tree,og,0.01804329781130587,0.013455113822604448,0.01804329781130587,0.008041546975100067
302,satimage,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
304,satimage,SMOTEN,not majority,SVM,og,-0.14932068700333256,-0.013997669347273312,-0.14932068700333256,0.09165299138587069
306,satimage,SMOTEN,not majority,KNN,og,-0.025759573247396972,0.01418008895526579,-0.025759573247396972,0.042250773125688146
308,satimage,SMOTEN,not majority,Tree,og,-0.034365425226742796,-0.02024331438188587,-0.034365425226742796,-0.007980871433020953
