,dataset,method,strategy,model,og_or_samp,balanced_accuracy,f1,precision,recall
1840,oil,SMOTEN,not majority,SVM,og,0.04166666666666663,0.06279563787760511,0.04166666666666663,0.08505504352278537
1842,oil,SMOTEN,not majority,KNN,og,0.0,0.0,0.0,0.0
1844,oil,SMOTEN,not majority,Tree,og,0.13611111111111107,0.11847257323133831,0.13611111111111107,0.10293524582524927
1846,oil,SMOTEN,not majority,Logistic,og,0.037962962962962976,0.02293492132937225,0.037962962962962976,-0.012627960275019112
1848,oil,SMOTEN,all,SVM,og,0.04166666666666663,0.06279563787760511,0.04166666666666663,0.08505504352278537
1850,oil,SMOTEN,all,KNN,og,0.0,0.0,0.0,0.0
1852,oil,SMOTEN,all,Tree,og,0.06574074074074066,0.10094814241486072,0.06574074074074066,0.14016061180141515
1854,oil,SMOTEN,all,Logistic,og,0.037962962962962976,0.02293492132937225,0.037962962962962976,-0.012627960275019112
1856,oil,SVMSMOTE,minority,SVM,og,-0.11944444444444446,-0.1046512062543219,-0.11944444444444446,0.05045492142266339
1858,oil,SVMSMOTE,minority,KNN,og,-0.23518518518518516,-0.17642081798798215,-0.23518518518518516,0.021005639097744444
1860,oil,SVMSMOTE,minority,Tree,og,-0.1499999999999999,-0.057969440251864235,-0.1499999999999999,0.0007076257076257253
1862,oil,SVMSMOTE,minority,Logistic,og,-0.11759259259259258,-0.0584575660891522,-0.11759259259259258,-0.011154273029966744
1864,oil,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
1866,oil,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
1868,oil,SVMSMOTE,not minority,Tree,og,0.03981481481481475,0.030248363089691477,0.03981481481481475,0.018395969498910647
1870,oil,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
1872,oil,SVMSMOTE,not majority,SVM,og,-0.11944444444444446,-0.1046512062543219,-0.11944444444444446,0.05045492142266339
1874,oil,SVMSMOTE,not majority,KNN,og,-0.18981481481481477,-0.13048922073736768,-0.18981481481481477,0.0652073093388299
1876,oil,SVMSMOTE,not majority,Tree,og,-0.07222222222222219,-0.009576624581018711,-0.07222222222222219,0.0160362026033668
1878,oil,SVMSMOTE,not majority,Logistic,og,-0.07777777777777783,-0.039352689108404504,-0.07777777777777783,-0.0034699272967613215
1880,oil,SVMSMOTE,all,SVM,og,-0.11944444444444446,-0.1046512062543219,-0.11944444444444446,0.05045492142266339
1882,oil,SVMSMOTE,all,KNN,og,-0.15555555555555556,-0.1348508898508899,-0.15555555555555556,0.03498677248677251
1884,oil,SVMSMOTE,all,Tree,og,-0.0703703703703703,-0.021524567711008302,-0.0703703703703703,0.0026956759715380807
1886,oil,SVMSMOTE,all,Logistic,og,-0.07777777777777783,-0.039352689108404504,-0.07777777777777783,-0.0034699272967613215
1888,oil,ADASYN,minority,SVM,og,-0.1499999999999999,-0.07604522275430026,-0.1499999999999999,0.13919038186865007
1890,oil,ADASYN,minority,KNN,og,-0.21666666666666667,-0.10087735758338112,-0.21666666666666667,0.10550738324175835
1892,oil,ADASYN,minority,Tree,og,-0.03425925925925932,-0.0028049319058022215,-0.03425925925925932,0.018000575492251314
1894,oil,ADASYN,minority,Logistic,og,-0.1972222222222223,-0.08969992627507162,-0.1972222222222223,-0.023244470201873813
1896,oil,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
1898,oil,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
1900,oil,ADASYN,not minority,Tree,og,-0.04166666666666663,-0.04041921264960169,-0.04166666666666663,-0.03814082325315227
1902,oil,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
1904,oil,ADASYN,not majority,SVM,og,-0.14814814814814814,-0.06769358285976257,-0.14814814814814814,0.15026235286161527
1906,oil,ADASYN,not majority,KNN,og,-0.2222222222222222,-0.11963174821397882,-0.2222222222222222,0.08783573946617429
1908,oil,ADASYN,not majority,Tree,og,-0.03425925925925932,-0.0028049319058022215,-0.03425925925925932,0.018000575492251314
1910,oil,ADASYN,not majority,Logistic,og,-0.19351851851851853,-0.07217175154591016,-0.19351851851851853,-0.004566550474478848
1912,oil,ADASYN,all,SVM,og,-0.14814814814814814,-0.06769358285976257,-0.14814814814814814,0.15026235286161527
1914,oil,ADASYN,all,KNN,og,-0.22037037037037033,-0.11309163059163063,-0.22037037037037033,0.09421373200442973
1916,oil,ADASYN,all,Tree,og,0.011111111111111072,0.032770188747766715,0.011111111111111072,0.048504308269800456
1918,oil,ADASYN,all,Logistic,og,-0.19351851851851853,-0.07217175154591016,-0.19351851851851853,-0.004566550474478848
1920,car_eval_4,SMOTE,minority,SVM,og,0.003095975232198178,0.026552795031055787,0.003095975232198178,0.04761904761904767
1922,car_eval_4,SMOTE,minority,KNN,og,-0.2647058823529411,-0.05122852794085675,-0.2647058823529411,0.21210436270316513
1924,car_eval_4,SMOTE,minority,Tree,og,-0.003095975232198178,-0.026552795031055787,-0.003095975232198178,-0.04761904761904767
1926,car_eval_4,SMOTE,minority,Logistic,og,-0.049535603715170184,-0.003940752338010167,-0.049535603715170184,0.0373176206509539
1928,car_eval_4,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
1930,car_eval_4,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
1932,car_eval_4,SMOTE,not minority,Tree,og,0.0,0.0,0.0,0.0
1934,car_eval_4,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
1936,car_eval_4,SMOTE,not majority,SVM,og,0.003095975232198178,0.026552795031055787,0.003095975232198178,0.04761904761904767
1938,car_eval_4,SMOTE,not majority,KNN,og,-0.2647058823529411,-0.05122852794085675,-0.2647058823529411,0.21210436270316513
1940,car_eval_4,SMOTE,not majority,Tree,og,-0.003095975232198178,-0.026552795031055787,-0.003095975232198178,-0.04761904761904767
1942,car_eval_4,SMOTE,not majority,Logistic,og,-0.049535603715170184,-0.003940752338010167,-0.049535603715170184,0.0373176206509539
1944,car_eval_4,SMOTE,all,SVM,og,0.003095975232198178,0.026552795031055787,0.003095975232198178,0.04761904761904767
1946,car_eval_4,SMOTE,all,KNN,og,-0.2647058823529411,-0.05122852794085675,-0.2647058823529411,0.21210436270316513
1948,car_eval_4,SMOTE,all,Tree,og,0.023219814241486114,-0.012266483990494459,0.023219814241486114,-0.046075837742504455
1950,car_eval_4,SMOTE,all,Logistic,og,-0.049535603715170184,-0.003940752338010167,-0.049535603715170184,0.0373176206509539
1952,car_eval_4,SMOTEN,minority,SVM,og,0.0,0.0,0.0,0.0
1954,car_eval_4,SMOTEN,minority,KNN,og,-0.22910216718266252,-0.12126600029217804,-0.22910216718266252,0.10029429776810006
1956,car_eval_4,SMOTEN,minority,Tree,og,0.049535603715170184,0.00276819262326522,0.049535603715170184,-0.044542124542124584
1958,car_eval_4,SMOTEN,minority,Logistic,og,-0.05263157894736836,-0.02926322650272173,-0.05263157894736836,-0.005864197530864201
1960,car_eval_4,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
1962,car_eval_4,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
1964,car_eval_4,SMOTEN,not minority,Tree,og,0.0,0.0,0.0,0.0
1966,car_eval_4,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
1968,car_eval_4,SMOTEN,not majority,SVM,og,0.0,0.0,0.0,0.0
1970,car_eval_4,SMOTEN,not majority,KNN,og,-0.22910216718266252,-0.12126600029217804,-0.22910216718266252,0.10029429776810006
1972,car_eval_4,SMOTEN,not majority,Tree,og,-0.003095975232198178,-0.026552795031055787,-0.003095975232198178,-0.04761904761904767
1974,car_eval_4,SMOTEN,not majority,Logistic,og,-0.05263157894736836,-0.02926322650272173,-0.05263157894736836,-0.005864197530864201
1976,car_eval_4,SMOTEN,all,SVM,og,0.0,0.0,0.0,0.0
1978,car_eval_4,SMOTEN,all,KNN,og,-0.22910216718266252,-0.12126600029217804,-0.22910216718266252,0.10029429776810006
1980,car_eval_4,SMOTEN,all,Tree,og,0.049535603715170184,0.00276819262326522,0.049535603715170184,-0.044542124542124584
1982,car_eval_4,SMOTEN,all,Logistic,og,-0.02631578947368407,-0.014995156031900825,-0.02631578947368407,-0.003000420441080842
1984,car_eval_4,SVMSMOTE,minority,SVM,og,0.003095975232198178,0.026552795031055787,0.003095975232198178,0.04761904761904767
1986,car_eval_4,SVMSMOTE,minority,KNN,og,-0.2708978328173375,-0.08261136638994115,-0.2708978328173375,0.17708132122851072
1988,car_eval_4,SVMSMOTE,minority,Tree,og,-0.003095975232198178,-0.026552795031055787,-0.003095975232198178,-0.04761904761904767
1990,car_eval_4,SVMSMOTE,minority,Logistic,og,-0.047987616099071095,0.007875379294871254,-0.047987616099071095,0.05609232420826615
1992,car_eval_4,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
1994,car_eval_4,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
1996,car_eval_4,SVMSMOTE,not minority,Tree,og,0.0,0.0,0.0,0.0
1998,car_eval_4,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
2000,car_eval_4,SVMSMOTE,not majority,SVM,og,0.003095975232198178,0.026552795031055787,0.003095975232198178,0.04761904761904767
2002,car_eval_4,SVMSMOTE,not majority,KNN,og,-0.2693498452012384,-0.07435554599399685,-0.2693498452012384,0.18665793413173648
2004,car_eval_4,SVMSMOTE,not majority,Tree,og,-0.003095975232198178,-0.026552795031055787,-0.003095975232198178,-0.04761904761904767
2006,car_eval_4,SVMSMOTE,not majority,Logistic,og,-0.047987616099071095,0.007875379294871254,-0.047987616099071095,0.05609232420826615
2008,car_eval_4,SVMSMOTE,all,SVM,og,0.003095975232198178,0.026552795031055787,0.003095975232198178,0.04761904761904767
2010,car_eval_4,SVMSMOTE,all,KNN,og,-0.2678018575851393,-0.0663837548049444,-0.2678018575851393,0.19565414625294864
2012,car_eval_4,SVMSMOTE,all,Tree,og,-0.003095975232198178,-0.026552795031055787,-0.003095975232198178,-0.04761904761904767
2014,car_eval_4,SVMSMOTE,all,Logistic,og,-0.047987616099071095,0.007875379294871254,-0.047987616099071095,0.05609232420826615
2016,car_eval_4,ADASYN,minority,SVM,og,0.003095975232198178,0.026552795031055787,0.003095975232198178,0.04761904761904767
2018,car_eval_4,ADASYN,minority,KNN,og,-0.2678018575851393,-0.0663837548049444,-0.2678018575851393,0.19565414625294864
2020,car_eval_4,ADASYN,minority,Tree,og,-0.003095975232198178,-0.026552795031055787,-0.003095975232198178,-0.04761904761904767
2022,car_eval_4,ADASYN,minority,Logistic,og,-0.049535603715170184,-0.003940752338010167,-0.049535603715170184,0.0373176206509539
2024,car_eval_4,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
2026,car_eval_4,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
2028,car_eval_4,ADASYN,not minority,Tree,og,0.0,0.0,0.0,0.0
2030,car_eval_4,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
2032,car_eval_4,ADASYN,not majority,SVM,og,0.003095975232198178,0.026552795031055787,0.003095975232198178,0.04761904761904767
2034,car_eval_4,ADASYN,not majority,KNN,og,-0.2647058823529411,-0.05122852794085675,-0.2647058823529411,0.21210436270316513
2036,car_eval_4,ADASYN,not majority,Tree,og,-0.003095975232198178,-0.026552795031055787,-0.003095975232198178,-0.04761904761904767
2038,car_eval_4,ADASYN,not majority,Logistic,og,-0.049535603715170184,-0.003940752338010167,-0.049535603715170184,0.0373176206509539
2040,car_eval_4,ADASYN,all,SVM,og,0.003095975232198178,0.026552795031055787,0.003095975232198178,0.04761904761904767
2042,car_eval_4,ADASYN,all,KNN,og,-0.2662538699690402,-0.058679759421032984,-0.2662538699690402,0.20412116942585412
2044,car_eval_4,ADASYN,all,Tree,og,-0.003095975232198178,-0.026552795031055787,-0.003095975232198178,-0.04761904761904767
2046,car_eval_4,ADASYN,all,Logistic,og,-0.049535603715170184,-0.003940752338010167,-0.049535603715170184,0.0373176206509539
2048,wine_quality,SMOTE,minority,SVM,og,0.006208425720620858,0.011100542520960821,0.006208425720620858,0.014972395688737095
2050,wine_quality,SMOTE,minority,KNN,og,-0.014745011086474635,-0.004900771432126305,-0.014745011086474635,0.0291199921950529
2052,wine_quality,SMOTE,minority,Tree,og,-0.015410199556540993,-0.021077746426392818,-0.015410199556540993,-0.02693984176742792
2054,wine_quality,SMOTE,minority,Logistic,og,0.02450110864745003,0.02933084464126856,0.02450110864745003,0.0381369505223732
2056,wine_quality,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
2058,wine_quality,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
2060,wine_quality,SMOTE,not minority,Tree,og,-0.009090909090909038,-0.008306525258895525,-0.009090909090909038,-0.008083043620038088
2062,wine_quality,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
2064,wine_quality,SMOTE,not majority,SVM,og,-0.005875831485587679,0.0019544124562924647,-0.005875831485587679,0.005912239515404316
2066,wine_quality,SMOTE,not majority,KNN,og,0.030931263858092972,0.044086438052686194,0.030931263858092972,0.07662772037160503
2068,wine_quality,SMOTE,not majority,Tree,og,0.0151884700665188,0.015060737646347522,0.0151884700665188,0.014949803579223042
2070,wine_quality,SMOTE,not majority,Logistic,og,0.0064301552106429405,0.016728187090793156,0.0064301552106429405,0.025056035477912797
2072,wine_quality,SMOTE,all,SVM,og,0.0032150776053214702,0.00994652259554707,0.0032150776053214702,0.013950453771298
2074,wine_quality,SMOTE,all,KNN,og,0.012749445676274895,0.028112907433649248,0.012749445676274895,0.05966786399381985
2076,wine_quality,SMOTE,all,Tree,og,0.006208425720620969,0.010251803069590726,0.006208425720620969,0.010656113102349596
2078,wine_quality,SMOTE,all,Logistic,og,0.006319290465631955,0.012639811502867193,0.006319290465631955,0.021979787732739453
2080,wine_quality,SMOTEN,minority,SVM,og,0.04855875831485579,0.047703843225552545,0.04855875831485579,0.045828247929272536
2082,wine_quality,SMOTEN,minority,KNN,og,0.015299334811529897,0.017287464308740952,0.015299334811529897,0.033823894999010284
2084,wine_quality,SMOTEN,minority,Tree,og,-0.005986696230598776,-0.0026647150961260913,-0.005986696230598776,-0.003648242453893058
2086,wine_quality,SMOTEN,minority,Logistic,og,0.03658536585365857,0.03975195173668766,0.03658536585365857,0.047129059308394505
2088,wine_quality,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
2090,wine_quality,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
2092,wine_quality,SMOTEN,not minority,Tree,og,0.0,0.0,0.0,0.0
2094,wine_quality,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
2096,wine_quality,SMOTEN,not majority,SVM,og,0.042572062084257234,0.04414212652531768,0.042572062084257234,0.046078894261130765
2098,wine_quality,SMOTEN,not majority,KNN,og,0.03359201773835907,0.037061992865759175,0.03359201773835907,0.06061046349800159
2100,wine_quality,SMOTEN,not majority,Tree,og,-0.0485587583148559,-0.04650831438045133,-0.0485587583148559,-0.04611309596795343
2102,wine_quality,SMOTEN,not majority,Logistic,og,0.039578713968957846,0.041878309420951165,0.039578713968957846,0.04775630433677347
2104,wine_quality,SMOTEN,all,SVM,og,0.018292682926829174,0.020625307841657725,0.018292682926829174,0.023237579448271206
2106,wine_quality,SMOTEN,all,KNN,og,0.01840354767184027,0.021444117808759655,0.01840354767184027,0.044416610070105556
2108,wine_quality,SMOTEN,all,Tree,og,-0.03946784922394686,-0.038465309883804366,-0.03946784922394686,-0.03790160008270349
2110,wine_quality,SMOTEN,all,Logistic,og,0.012195121951219523,0.013300116110540161,0.012195121951219523,0.01659127599121779
2112,wine_quality,SVMSMOTE,minority,SVM,og,0.0031042128603103736,0.005481329507495247,0.0031042128603103736,0.008136168513526942
2114,wine_quality,SVMSMOTE,minority,KNN,og,-0.0027716186252773056,0.0016586696233424902,-0.0027716186252773056,0.03020617907270251
2116,wine_quality,SVMSMOTE,minority,Tree,og,-0.10332594235033266,-0.10372284878863836,-0.10332594235033266,-0.10333279009126461
2118,wine_quality,SVMSMOTE,minority,Logistic,og,0.018514412416851478,0.02614709017532313,0.018514412416851478,0.03529685848901121
2120,wine_quality,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
2122,wine_quality,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
2124,wine_quality,SVMSMOTE,not minority,Tree,og,-0.002993348115299277,-0.0016292118711772607,-0.002993348115299277,-0.0014815171733548738
2126,wine_quality,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
2128,wine_quality,SVMSMOTE,not majority,SVM,og,0.030598669623059904,0.03867665359394956,0.030598669623059904,0.041884202261560644
2130,wine_quality,SVMSMOTE,not majority,KNN,og,-0.005654101995565486,0.0033281381831971046,-0.005654101995565486,0.03707309401953052
2132,wine_quality,SVMSMOTE,not majority,Tree,og,0.0031042128603102626,0.005436071163233747,0.0031042128603102626,0.004420992057394768
2134,wine_quality,SVMSMOTE,not majority,Logistic,og,0.027605321507760516,0.03437786253693298,0.027605321507760516,0.04353111775864571
2136,wine_quality,SVMSMOTE,all,SVM,og,0.01230598669623062,0.018001511103203915,0.01230598669623062,0.021928857306215743
2138,wine_quality,SVMSMOTE,all,KNN,og,0.012638580931263799,0.023700563310229295,0.012638580931263799,0.05743105963431372
2140,wine_quality,SVMSMOTE,all,Tree,og,-0.06718403547671836,-0.07611283342028607,-0.06718403547671836,-0.08889180011199649
2142,wine_quality,SVMSMOTE,all,Logistic,og,0.01552106430155209,0.024782701321938938,0.01552106430155209,0.03343205765958568
2144,wine_quality,ADASYN,minority,SVM,og,0.05199556541019945,0.06537332124195672,0.05199556541019945,0.06392684227095258
2146,wine_quality,ADASYN,minority,KNN,og,-0.0025498891352551123,0.008750759731006141,-0.0025498891352551123,0.04265539095441728
2148,wine_quality,ADASYN,minority,Tree,og,0.006208425720620747,0.010729949874686784,0.006208425720620747,0.009037737215703334
2150,wine_quality,ADASYN,minority,Logistic,og,0.006319290465631955,0.012639811502867193,0.006319290465631955,0.021979787732739453
2152,wine_quality,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
2154,wine_quality,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
2156,wine_quality,ADASYN,not minority,Tree,og,-0.005986696230598665,-0.0030161371486082666,-0.005986696230598665,-0.0036241307427747893
2158,wine_quality,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
2160,wine_quality,ADASYN,not majority,SVM,og,0.030598669623059904,0.03867665359394956,0.030598669623059904,0.041884202261560644
2162,wine_quality,ADASYN,not majority,KNN,og,0.04611973392461188,0.0589414123004498,0.04611973392461188,0.09128953544009821
2164,wine_quality,ADASYN,not majority,Tree,og,-0.0028824833702882913,0.002305261309975659,-0.0028824833702882913,-2.2258317794232596e-05
2166,wine_quality,ADASYN,not majority,Logistic,og,0.012416851441241716,0.019392902186919247,0.012416851441241716,0.028704277931805855
2168,wine_quality,ADASYN,all,SVM,og,0.030598669623059904,0.03867665359394956,0.030598669623059904,0.041884202261560644
2170,wine_quality,ADASYN,all,KNN,og,0.03392461197339247,0.045407850645687864,0.03392461197339247,0.07867726743302783
2172,wine_quality,ADASYN,all,Tree,og,-0.05764966740576494,-0.054422908590273766,-0.05764966740576494,-0.05402195398914911
2174,wine_quality,ADASYN,all,Logistic,og,0.003325942350332567,0.011197286596099976,0.003325942350332567,0.02052118980911466
2176,letter_img,SMOTE,minority,SVM,og,-0.02372521246458914,-0.0031179680113934127,-0.02372521246458914,0.01836198779197651
2178,letter_img,SMOTE,minority,KNN,og,-0.0066894154004635276,0.030236391731070844,-0.0066894154004635276,0.06100649867422647
2180,letter_img,SMOTE,minority,Tree,og,-0.005395312902395144,-0.009085792783708357,-0.005395312902395144,-0.012363324782174057
2182,letter_img,SMOTE,minority,Logistic,og,-0.10035410764872521,0.0652084448789878,-0.10035410764872521,0.1729469165498576
2184,letter_img,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
2186,letter_img,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
2188,letter_img,SMOTE,not minority,Tree,og,0.004403811485964471,0.0014385186728796961,0.004403811485964471,-0.0012193878257116264
2190,letter_img,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
2192,letter_img,SMOTE,not majority,SVM,og,-0.02358356940509898,-0.0019584833674056723,-0.02358356940509898,0.02047703590634009
2194,letter_img,SMOTE,not majority,KNN,og,-0.006547772340973479,0.03126486699888442,-0.006547772340973479,0.0626400003077281
2196,letter_img,SMOTE,not majority,Tree,og,-0.0004249291784701459,-0.0033032233729446414,-0.0004249291784701459,-0.0059021753012750144
2198,letter_img,SMOTE,not majority,Logistic,og,-0.10134560906515588,0.06086723689362883,-0.10134560906515588,0.1683866767800466
2200,letter_img,SMOTE,all,SVM,og,-0.02372521246458914,-0.0031179680113934127,-0.02372521246458914,0.01836198779197651
2202,letter_img,SMOTE,all,KNN,og,-0.006122843162503222,0.03432664249917872,-0.006122843162503222,0.067465972814309
2204,letter_img,SMOTE,all,Tree,og,-0.011505279423126513,-0.007416934768628813,-0.011505279423126513,-0.0036953645710171568
2206,letter_img,SMOTE,all,Logistic,og,-0.100070821529745,0.0664333797789719,-0.100070821529745,0.17422118910625417
2208,letter_img,SMOTEN,minority,SVM,og,-0.023441926345608932,-0.0008038378347753339,-0.023441926345608932,0.022573532095512383
2210,letter_img,SMOTEN,minority,KNN,og,-0.002279165593613186,0.015757628957873582,-0.002279165593613186,0.03216925669693094
2212,letter_img,SMOTEN,minority,Tree,og,0.0089492660314191,0.0039627241630325605,0.0089492660314191,-0.0005926056298938276
2214,letter_img,SMOTEN,minority,Logistic,og,-0.10503476693278391,0.05337689953459657,-0.10503476693278391,0.1608561070840625
2216,letter_img,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
2218,letter_img,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
2220,letter_img,SMOTEN,not minority,Tree,og,0.0025560133917074124,0.0034602233006860716,0.0025560133917074124,0.00427390570852848
2222,letter_img,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
2224,letter_img,SMOTEN,not majority,SVM,og,-0.02358356940509898,-0.0019584833674056723,-0.02358356940509898,0.02047703590634009
2226,letter_img,SMOTEN,not majority,KNN,og,-0.002279165593613186,0.015757628957873582,-0.002279165593613186,0.03216925669693094
2228,letter_img,SMOTEN,not majority,Tree,og,-0.0021310842132371555,-0.00016375848250194114,-0.0021310842132371555,0.0016577078441801785
2230,letter_img,SMOTEN,not majority,Logistic,og,-0.10432655163533355,0.05657943015036904,-0.10432655163533355,0.16429678310320384
2232,letter_img,SMOTEN,all,SVM,og,-0.023441926345608932,-0.0008038378347753339,-0.023441926345608932,0.022573532095512383
2234,letter_img,SMOTEN,all,KNN,og,-0.002279165593613186,0.015757628957873582,-0.002279165593613186,0.03216925669693094
2236,letter_img,SMOTEN,all,Tree,og,0.0025560133917075234,0.003464768264236695,0.0025560133917075234,0.004291001178602816
2238,letter_img,SMOTEN,all,Logistic,og,-0.10545969611125416,0.05143330180120187,-0.10545969611125416,0.15874915784266186
2240,letter_img,SVMSMOTE,minority,SVM,og,-0.02230878186968832,0.008262955697482033,-0.02230878186968832,0.03870593196059069
2242,letter_img,SVMSMOTE,minority,KNN,og,-0.007397630697913993,0.02503376078696551,-0.007397630697913993,0.05264605724291893
2244,letter_img,SVMSMOTE,minority,Tree,og,-0.008234612413082654,-0.014822584504724068,-0.008234612413082654,-0.0208250851536802
2246,letter_img,SVMSMOTE,minority,Logistic,og,-0.09370976049446311,0.10691113298923138,-0.09370976049446311,0.213850033024525
2248,letter_img,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
2250,letter_img,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
2252,letter_img,SVMSMOTE,not minority,Tree,og,0.0021310842132371555,0.00017626663526382202,0.0021310842132371555,-0.0015830615188168196
2254,letter_img,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
2256,letter_img,SVMSMOTE,not majority,SVM,og,-0.024581509142415636,0.007045307908762011,-0.024581509142415636,0.03839387587375742
2258,letter_img,SVMSMOTE,not majority,KNN,og,-0.007255987638423833,0.026082405949219734,-0.007255987638423833,0.05434437436504336
2260,letter_img,SVMSMOTE,not majority,Tree,og,-0.0048287406644347275,-0.004728132387706752,-0.0048287406644347275,-0.004631916996047369
2262,letter_img,SVMSMOTE,not majority,Logistic,og,-0.0931431882565028,0.10891600626403841,-0.0931431882565028,0.2156337824456278
2264,letter_img,SVMSMOTE,all,SVM,og,-0.022167138810198272,0.009375476665797189,-0.022167138810198272,0.04064590900927212
2266,letter_img,SVMSMOTE,all,KNN,og,-0.007255987638423833,0.026082405949219734,-0.007255987638423833,0.05434437436504336
2268,letter_img,SVMSMOTE,all,Tree,og,0.008524336852948733,0.0006406387340447406,0.008524336852948733,-0.0063256542565834906
2270,letter_img,SVMSMOTE,all,Logistic,og,-0.09257661601854239,0.11090226824817861,-0.09257661601854239,0.21738878270264128
2272,letter_img,ADASYN,minority,SVM,og,-0.0255730105588462,-0.0008730006831332293,-0.0255730105588462,0.024395878130604398
2274,letter_img,ADASYN,minority,KNN,og,-0.007539273757404041,0.02398100436762418,-0.007539273757404041,0.050934314688999116
2276,letter_img,ADASYN,minority,Tree,og,0.004262168426474311,0.0003541139596124898,0.004262168426474311,-0.003196531294580307
2278,letter_img,ADASYN,minority,Logistic,og,-0.0796420293587432,0.10779800951632057,-0.0796420293587432,0.2130193004707619
2280,letter_img,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
2282,letter_img,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
2284,letter_img,ADASYN,not minority,Tree,og,-0.002697656451197572,-0.004570045877174578,-0.002697656451197572,-0.006283364273506953
2286,letter_img,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
2288,letter_img,ADASYN,not majority,SVM,og,-0.023441926345608932,-0.0008038378347753339,-0.023441926345608932,0.022573532095512383
2290,letter_img,ADASYN,not majority,KNN,og,-0.007539273757404041,0.02398100436762418,-0.007539273757404041,0.050934314688999116
2292,letter_img,ADASYN,not majority,Tree,og,0.0,0.0,0.0,0.0
2294,letter_img,ADASYN,not majority,Logistic,og,-0.08020860159670362,0.10573329379888541,-0.08020860159670362,0.2111103909635521
2296,letter_img,ADASYN,all,SVM,og,-0.023300283286118884,0.0003460010622223786,-0.023300283286118884,0.024651719398771865
2298,letter_img,ADASYN,all,KNN,og,-0.007539273757404041,0.02398100436762418,-0.007539273757404041,0.050934314688999116
2300,letter_img,ADASYN,all,Tree,og,-0.0032642286891578776,-0.008999251419332666,-0.0032642286891578776,-0.014201799852417207
2302,letter_img,ADASYN,all,Logistic,og,-0.08020860159670362,0.10573329379888541,-0.08020860159670362,0.2111103909635521
2304,yeast_me2,SMOTE,minority,SVM,og,-0.20700757575757567,-0.05328627195241242,-0.20700757575757567,0.11871608310470272
2306,yeast_me2,SMOTE,minority,KNN,og,-0.10416666666666663,0.0677179056543481,-0.10416666666666663,0.2060874917432295
2308,yeast_me2,SMOTE,minority,Tree,og,0.07234848484848488,0.06457065584854638,0.07234848484848488,0.058445532435740466
2310,yeast_me2,SMOTE,minority,Logistic,og,-0.19280303030303025,0.00973620491907734,-0.19280303030303025,0.08145113896889744
2312,yeast_me2,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
2314,yeast_me2,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
2316,yeast_me2,SMOTE,not minority,Tree,og,-0.027651515151515205,-0.000918680486231116,-0.027651515151515205,0.013186854703345685
